,ticker,PE,div_ratio,price
735,BRY,2.106583006329671,0.14434524260191028,6.71999979019165
242,MPW,2.2866667111714682,0.25655976177049217,3.430000066757202
667,CHRD,2.589549886682807,0.07538070774056263,157.60000610351562
818,ASC,4.146005562185913,0.07641195916449005,15.050000190734863
887,GOGL,4.269565084706183,0.05091649852734035,9.819999694824219
578,OGN,4.639889196675901,0.06686567164179105,16.75
195,DVN,4.673413463316619,0.06710310893810227,42.77000045776367
379,WU,5.187233863992894,0.07711238985706698,12.1899995803833
408,HAFC,5.5285284827063395,0.054318305719082874,18.40999984741211
323,FISI,6.002793232155912,0.0558399261414958,21.489999771118164
968,BCC,6.097234910534274,0.06575466828307654,132.30999755859375
798,FLIC,6.112194991693265,0.0670391075739324,12.529999732971191
582,HE,6.122727394104003,0.08017817212992712,13.470000267028809
711,PDM,6.145496043073573,0.09165526747531551,7.309999942779541
502,FANG,6.251117283132492,0.05193707871944399,153.83999633789062
294,FFIC,6.288000106811523,0.055979642815001444,15.720000267028809
369,CMA,6.321261753545743,0.05248567673194022,54.11000061035156
299,HVT,6.475138093446061,0.06200227558193392,35.15999984741211
162,INSW,6.510828103229499,0.12306789131061084,51.11000061035156
163,PXD,6.85955235944208,0.06240779582295685,223.69000244140625
515,SASR,6.9701895158142255,0.052877139825344116,25.719999313354492
282,CPF,7.074074215359158,0.054450260692611205,19.100000381469727
975,STWD,7.4221951783623465,0.09221902152464034,20.81999969482422
478,SFL,7.437499761581421,0.08151260765500774,11.899999618530273
853,DDS,7.585908333820237,0.053704856446877926,385.44000244140625
559,VZ,7.620553631085182,0.06836099341598709,38.560001373291016
587,VIRT,7.78775507090043,0.05031446560999418,19.079999923706055
566,CWH,7.8297216456741,0.05931197887300362,25.290000915527344
409,PFC,7.909091202529161,0.05481874244006545,22.6200008392334
336,LYB,7.975506782531738,0.05231388313073249,94.43000030517578
918,LXFR,8.454545338948568,0.06212664362124613,8.369999885559082
728,AMBP,9.578947644484671,0.10989010672309589,3.640000104904175
477,LPG,9.867749136727815,0.09405126063504979,42.529998779296875
805,LADR,9.894736607869467,0.08156028561870088,11.279999732971191
235,FRO,9.972972698039836,0.1296296332032362,22.139999389648438
