,ticker,PE,div_ratio,price
504,ASTE,-7787.1463466147015,0.015218028324993917,34.16999816894531
1719,HL,-6271.428380693708,0.0,4.389999866485596
2002,PEN,-5167.80029296875,0.0,258.3900146484375
63,VZIO,-3611.781757157647,0.0,7.480000019073486
1870,UTZ,-3320.3923171230076,0.0,16.25
1535,STZ,-2348.181707208807,0.0,258.29998779296875
2003,GE,-2163.1665547688804,0.0,129.7899932861328
2268,PRA,-1653.9030524810828,0.0,12.3100004196167
1255,LTH,-1442.0000076293945,0.0,14.420000076293945
1867,DNB,-1157.9999923706055,0.0,11.579999923706055
236,UEC,-776.9999980926514,0.0,7.769999980926514
428,DDOG,-768.75,0.0,123.0
863,OWL,-742.0000076293945,0.03706199422808548,14.84000015258789
592,AMZN,-572.6666485821759,0.0,154.6199951171875
948,RMBS,-507.4615478515625,0.0,65.97000122070312
124,COLD,-424.14286477225164,0.02963960876290809,29.690000534057617
1619,VTR,-409.25000508626306,0.0,49.11000061035156
710,FSLR,-391.3170791253811,0.0,160.44000244140625
2442,KRG,-369.6666717529297,0.0,22.18000030517578
1748,CRWD,-358.6708938019185,0.0,283.3500061035156
1861,MRVL,-345.6842121325041,0.0,65.68000030517578
1980,PDFS,-335.5555640326606,0.0,30.200000762939453
1213,ITRI,-329.86363497647375,0.0,72.56999969482422
869,SRDX,-306.6363594748757,0.0,33.72999954223633
2209,VRNT,-301.4444351196289,0.0,27.1299991607666
185,AZTA,-296.0909063165838,0.0,65.13999938964844
2153,CCL,-282.6666514078776,0.0,16.959999084472656
1345,CTRE,-280.5000066757202,0.0,22.440000534057617
12,PRVA,-265.625,0.0,21.25
698,PINS,-265.2142933436802,0.0,37.130001068115234
426,TDS,-261.85714176722934,0.04037097670922319,18.329999923706055
1031,AVO,-252.99999713897705,0.0,10.119999885559082
1392,HUBS,-238.87233003656914,0.0,561.3499755859375
2147,ADTN,-237.99999554951987,0.0,7.139999866485596
2231,PLCE,-233.9999940660265,0.0,21.059999465942383
1295,HQY,-233.51612706338207,0.0,72.38999938964844
1832,ENOV,-231.52000427246094,0.0,57.880001068115234
1957,CEG,-230.42857890226404,0.0,112.91000366210938
157,KWR,-225.25842216577422,0.008778930753729243,200.47999572753906
2313,CODI,-217.70000457763672,0.0,21.770000457763672
1427,WDAY,-196.69443766276044,0.0,283.239990234375
1335,CTO,-189.22222985161676,0.0,17.030000686645508
246,PWSC,-186.99999589186447,0.0,24.309999465942383
158,KSS,-174.13333892822266,0.07656967594717345,26.1200008392334
1360,NEOG,-171.90026669291294,0.0,18.18000030517578
1406,CRDO,-171.81817835027522,0.0,18.899999618530273
928,GOOD,-168.3750033378601,0.029695619307380416,13.470000267028809
1241,VSTO,-168.35294611313762,0.0,28.6200008392334
279,ZS,-164.83571733747212,0.0,230.77000427246094
1299,PAYO,-160.66667238871258,0.0,4.820000171661377
740,EVH,-157.39999771118164,0.0,31.479999542236328
1116,ALTR,-153.14546064897016,0.0,84.2300033569336
692,INFA,-152.99999839381167,0.0,29.06999969482422
771,PRTS,-152.99999713897705,0.0,3.059999942779541
510,SJM,-150.58139534883722,0.032123552123552127,129.5
2370,UNIT,-142.75000095367432,0.0,5.710000038146973
1607,DUOL,-140.40396987207677,0.0,212.00999450683594
1817,DNUT,-137.10000038146973,0.0,13.710000038146973
1091,CDAY,-136.062494913737,0.0,65.30999755859375
50,NET,-134.52542838403735,0.0,79.37000274658203
803,DH,-134.4285692487444,0.0,9.40999984741211
2152,TDW,-134.08162642498405,0.0,65.69999694824219
1387,DOCU,-129.69387599400113,0.0,63.54999923706055
2173,DOCN,-127.3928506033761,0.0,35.66999816894531
797,Z,-127.38095238095238,0.0,53.5
113,TEAM,-124.73684210526316,0.0,237.0
1773,ZG,-124.1904758271717,0.0,52.15999984741211
635,AZPN,-120.071858845785,0.0,200.52000427246094
1006,SHEN,-119.41176021800321,0.0,20.299999237060547
1675,BL,-117.48979529555963,0.0,57.56999969482422
